SampleId	afterTrimGal
13-A_S112_L003_R1_001	11088934
13-A_S112_L003_R2_001	11088934
13-A_unpaired_all	9243138
13-B_S67_L003_R1_001	14130298
13-B_S67_L003_R2_001	14130298
13-B_unpaired_all	13568545
13-C_S61_L003_R1_001	15132269
13-C_S61_L003_R2_001	15132269
13-C_unpaired_all	12718101
13-D_S8_L003_R1_001	15292351
13-D_S8_L003_R2_001	15292351
13-D_unpaired_all	10370749
13-E_S77_L003_R1_001	14254621
13-E_S77_L003_R2_001	14254621
13-E_unpaired_all	11061952
13-F_S104_L003_R1_001	13207231
13-F_S104_L003_R2_001	13207231
13-F_unpaired_all	12696049
13-G_S50_L003_R1_001	14317371
13-G_S50_L003_R2_001	14317371
13-G_unpaired_all	10848960
13-H_S19_L003_R1_001	14822670
13-H_S19_L003_R2_001	14822670
13-H_unpaired_all	10854621
13-M_S109_L003_R1_001	11376324
13-M_S109_L003_R2_001	11376324
13-M_unpaired_all	9717033
13-N_S83_L003_R1_001	13399510
13-N_S83_L003_R2_001	13399510
13-N_unpaired_all	13163537
13-O_S33_L003_R1_001	16208657
13-O_S33_L003_R2_001	16208657
13-O_unpaired_all	12792274
13-P_S99_L003_R1_001	15083926
13-P_S99_L003_R2_001	15083926
13-P_unpaired_all	11584118
1-A_S44_L003_R1_001	16297580
1-A_S44_L003_R2_001	16297580
1-A_unpaired_all	14118946
1-B_S102_L003_R1_001	14132700
1-B_S102_L003_R2_001	14132700
1-B_unpaired_all	12742840
1-C_S105_L003_R1_001	4667655
1-C_S105_L003_R2_001	4667655
1-C_unpaired_all	10487838
1-D_S79_L003_R1_001	14782979
1-D_S79_L003_R2_001	14782979
1-D_unpaired_all	13024603
1-E_S13_L003_R1_001	14166873
1-E_S13_L003_R2_001	14166873
1-E_unpaired_all	10791081
1-F_S116_L003_R1_001	11456956
1-F_S116_L003_R2_001	11456956
1-F_unpaired_all	11453643
1-G_S29_L003_R1_001	14389628
1-G_S29_L003_R2_001	14389628
1-G_unpaired_all	11719427
1-H_S84_L003_R1_001	14128177
1-H_S84_L003_R2_001	14128177
1-H_unpaired_all	13622415
1-M_S68_L003_R1_001	11679430
1-M_S68_L003_R2_001	11679430
1-M_unpaired_all	15291514
1-N_S95_L003_R1_001	14479268
1-N_S95_L003_R2_001	14479268
1-N_unpaired_all	10194044
1-O_S54_L003_R1_001	16593631
1-O_S54_L003_R2_001	16593631
1-O_unpaired_all	11783835
1-P_S114_L003_R1_001	15803526
1-P_S114_L003_R2_001	15803526
1-P_unpaired_all	7218739
31-A_S71_L003_R1_001	14344774
31-A_S71_L003_R2_001	14344774
31-A_unpaired_all	13045714
31-B_S35_L003_R1_001	16267656
31-B_S35_L003_R2_001	16267656
31-B_unpaired_all	11775242
31-C_S80_L003_R1_001	10712052
31-C_S80_L003_R2_001	10712052
31-C_unpaired_all	12734396
31-D_S113_L003_R1_001	14699048
31-D_S113_L003_R2_001	14699048
31-D_unpaired_all	11329028
31-E_S17_L003_R1_001	10800629
31-E_S17_L003_R2_001	10800629
31-E_unpaired_all	10345700
31-F_S49_L003_R1_001	14925545
31-F_S49_L003_R2_001	14925545
