SampleId	afterTrimGal
13-A_S112_L003_R1_001.T1.fq.unpaired_trimmed	8215439
13-A_S112_L003_R1_001.T1_unpaired_1	168486
13-A_S112_L003_R2_001.T1.fq.unpaired_trimmed	118049
13-A_S112_L003_R2_001.T1_unpaired_2	741164
13-B_S67_L003_R1_001.T1.fq.unpaired_trimmed	13163279
13-B_S67_L003_R1_001.T1_unpaired_1	139231
13-B_S67_L003_R2_001.T1.fq.unpaired_trimmed	51006
13-B_S67_L003_R2_001.T1_unpaired_2	215029
13-C_S61_L003_R1_001.T1.fq.unpaired_trimmed	12270556
13-C_S61_L003_R1_001.T1_unpaired_1	155275
13-C_S61_L003_R2_001.T1.fq.unpaired_trimmed	51463
13-C_S61_L003_R2_001.T1_unpaired_2	240807
13-D_S8_L003_R1_001.T1.fq.unpaired_trimmed	9822286
13-D_S8_L003_R1_001.T1_unpaired_1	195816
13-D_S8_L003_R2_001.T1.fq.unpaired_trimmed	59237
13-D_S8_L003_R2_001.T1_unpaired_2	293410
13-E_S77_L003_R1_001.T1.fq.unpaired_trimmed	10631884
13-E_S77_L003_R1_001.T1_unpaired_1	148995
13-E_S77_L003_R2_001.T1.fq.unpaired_trimmed	49536
13-E_S77_L003_R2_001.T1_unpaired_2	231537
13-F_S104_L003_R1_001.T1.fq.unpaired_trimmed	10905905
13-F_S104_L003_R1_001.T1_unpaired_1	257551
13-F_S104_L003_R2_001.T1.fq.unpaired_trimmed	205669
13-F_S104_L003_R2_001.T1_unpaired_2	1326924
13-G_S50_L003_R1_001.T1.fq.unpaired_trimmed	10447448
13-G_S50_L003_R1_001.T1_unpaired_1	143225
13-G_S50_L003_R2_001.T1.fq.unpaired_trimmed	46007
13-G_S50_L003_R2_001.T1_unpaired_2	212280
13-H_S19_L003_R1_001.T1.fq.unpaired_trimmed	10353275
13-H_S19_L003_R1_001.T1_unpaired_1	174604
13-H_S19_L003_R2_001.T1.fq.unpaired_trimmed	58905
13-H_S19_L003_R2_001.T1_unpaired_2	267837
13-M_S109_L003_R1_001.T1.fq.unpaired_trimmed	8628662
13-M_S109_L003_R1_001.T1_unpaired_1	182124
13-M_S109_L003_R2_001.T1.fq.unpaired_trimmed	127664
13-M_S109_L003_R2_001.T1_unpaired_2	778583
13-N_S83_L003_R1_001.T1.fq.unpaired_trimmed	12654779
13-N_S83_L003_R1_001.T1_unpaired_1	171408
13-N_S83_L003_R2_001.T1.fq.unpaired_trimmed	62425
13-N_S83_L003_R2_001.T1_unpaired_2	274925
13-O_S33_L003_R1_001.T1.fq.unpaired_trimmed	12306038
13-O_S33_L003_R1_001.T1_unpaired_1	164082
13-O_S33_L003_R2_001.T1.fq.unpaired_trimmed	58208
13-O_S33_L003_R2_001.T1_unpaired_2	263946
13-P_S99_L003_R1_001.T1.fq.unpaired_trimmed	10328202
13-P_S99_L003_R1_001.T1_unpaired_1	215534
13-P_S99_L003_R2_001.T1.fq.unpaired_trimmed	143797
13-P_S99_L003_R2_001.T1_unpaired_2	896585
