SampleId	afterTrimmo
13-A_S112_L003_R1_001.T1.fq.unpaired	8475281
13-A_S112_L003_R2_001.T1.fq.unpaired	210236
13-B_S67_L003_R1_001.T1.fq.unpaired	13307439
13-B_S67_L003_R2_001.T1.fq.unpaired	149418
13-C_S61_L003_R1_001.T1.fq.unpaired	12423172
13-C_S61_L003_R2_001.T1.fq.unpaired	103408
13-D_S8_L003_R1_001.T1.fq.unpaired	9980177
13-D_S8_L003_R2_001.T1.fq.unpaired	92176
13-E_S77_L003_R1_001.T1.fq.unpaired	10770072
13-E_S77_L003_R2_001.T1.fq.unpaired	96664
13-F_S104_L003_R1_001.T1.fq.unpaired	11374699
13-F_S104_L003_R2_001.T1.fq.unpaired	368346
13-G_S50_L003_R1_001.T1.fq.unpaired	10575560
13-G_S50_L003_R2_001.T1.fq.unpaired	71902
13-H_S19_L003_R1_001.T1.fq.unpaired	10499134
13-H_S19_L003_R2_001.T1.fq.unpaired	130337
13-M_S109_L003_R1_001.T1.fq.unpaired	8886183
13-M_S109_L003_R2_001.T1.fq.unpaired	243478
13-N_S83_L003_R1_001.T1.fq.unpaired	12837474
13-N_S83_L003_R2_001.T1.fq.unpaired	108734
13-O_S33_L003_R1_001.T1.fq.unpaired	12460400
13-O_S33_L003_R2_001.T1.fq.unpaired	107568
13-P_S99_L003_R1_001.T1.fq.unpaired	10647000
13-P_S99_L003_R2_001.T1.fq.unpaired	288320
1-A_S44_L003_R1_001.T1.fq.unpaired	13761993
1-A_S44_L003_R2_001.T1.fq.unpaired	195402
1-B_S102_L003_R1_001.T1.fq.unpaired	11629946
1-B_S102_L003_R2_001.T1.fq.unpaired	324558
1-C_S105_L003_R1_001.T1.fq.unpaired	6997488
1-C_S105_L003_R2_001.T1.fq.unpaired	1261964
1-D_S79_L003_R1_001.T1.fq.unpaired	12744626
1-D_S79_L003_R2_001.T1.fq.unpaired	80881
1-E_S13_L003_R1_001.T1.fq.unpaired	10460703
1-E_S13_L003_R2_001.T1.fq.unpaired	117587
1-F_S116_L003_R1_001.T1.fq.unpaired	10370952
1-F_S116_L003_R2_001.T1.fq.unpaired	595900
1-G_S29_L003_R1_001.T1.fq.unpaired	11432620
1-G_S29_L003_R2_001.T1.fq.unpaired	103160
1-H_S84_L003_R1_001.T1.fq.unpaired	13347219
1-H_S84_L003_R2_001.T1.fq.unpaired	98505
1-M_S68_L003_R1_001.T1.fq.unpaired	15029304
1-M_S68_L003_R2_001.T1.fq.unpaired	554185
1-N_S95_L003_R1_001.T1.fq.unpaired	9544248
1-N_S95_L003_R2_001.T1.fq.unpaired	276661
1-O_S54_L003_R1_001.T1.fq.unpaired	11448289
1-O_S54_L003_R2_001.T1.fq.unpaired	107284
1-P_S114_L003_R1_001.T1.fq.unpaired	6504636
1-P_S114_L003_R2_001.T1.fq.unpaired	225137
31-A_S71_L003_R1_001.T1.fq.unpaired	12758941
31-A_S71_L003_R2_001.T1.fq.unpaired	110997
31-B_S35_L003_R1_001.T1.fq.unpaired	11464906
31-B_S35_L003_R2_001.T1.fq.unpaired	94394
31-C_S80_L003_R1_001.T1.fq.unpaired	12474160
31-C_S80_L003_R2_001.T1.fq.unpaired	115051
31-D_S113_L003_R1_001.T1.fq.unpaired	10498763
31-D_S113_L003_R2_001.T1.fq.unpaired	412260
31-E_S17_L003_R1_001.T1.fq.unpaired	10051740
31-E_S17_L003_R2_001.T1.fq.unpaired	139429
31-F_S49_L003_R1_001.T1.fq.unpaired	11025833
31-F_S49_L003_R2_001.T1.fq.unpaired	95035
31-G_S106_L003_R1_001.T1.fq.unpaired	6870508
31-G_S106_L003_R2_001.T1.fq.unpaired	856627
31-H_S96_L003_R1_001.T1.fq.unpaired	8446542
31-H_S96_L003_R2_001.T1.fq.unpaired	159296
