SampleId	Initial
13-A_S112_L003_R1_001	21329890
13-A_S112_L003_R2_001	21329890
13-B_S67_L003_R1_001	28147663
13-B_S67_L003_R2_001	28147663
13-C_S61_L003_R1_001	28217033
13-C_S61_L003_R2_001	28217033
13-D_S8_L003_R1_001	26030615
13-D_S8_L003_R2_001	26030615
13-E_S77_L003_R1_001	25640739
13-E_S77_L003_R2_001	25640739
13-F_S104_L003_R1_001	27785126
13-F_S104_L003_R2_001	27785126
13-G_S50_L003_R1_001	25474383
13-G_S50_L003_R2_001	25474383
13-H_S19_L003_R1_001	26071008
13-H_S19_L003_R2_001	26071008
13-M_S109_L003_R1_001	22108394
13-M_S109_L003_R2_001	22108394
13-N_S83_L003_R1_001	26992537
13-N_S83_L003_R2_001	26992537
13-O_S33_L003_R1_001	29418994
13-O_S33_L003_R2_001	29418994
13-P_S99_L003_R1_001	27951221
13-P_S99_L003_R2_001	27951221
1-A_S44_L003_R1_001	30978167
1-A_S44_L003_R2_001	30978167
1-B_S102_L003_R1_001	28392676
1-B_S102_L003_R2_001	28392676
1-C_S105_L003_R1_001	19437343
1-C_S105_L003_R2_001	19437343
1-D_S79_L003_R1_001	28168766
1-D_S79_L003_R2_001	28168766
1-E_S13_L003_R1_001	25308722
1-E_S13_L003_R2_001	25308722
1-F_S116_L003_R1_001	24956621
1-F_S116_L003_R2_001	24956621
1-G_S29_L003_R1_001	26477827
1-G_S29_L003_R2_001	26477827
1-H_S84_L003_R1_001	28197812
1-H_S84_L003_R2_001	28197812
1-M_S68_L003_R1_001	27768358
1-M_S68_L003_R2_001	27768358
1-N_S95_L003_R1_001	25238225
1-N_S95_L003_R2_001	25238225
1-O_S54_L003_R1_001	28729170
1-O_S54_L003_R2_001	28729170
1-P_S114_L003_R1_001	23763750
1-P_S114_L003_R2_001	23763750
31-A_S71_L003_R1_001	27765592
31-A_S71_L003_R2_001	27765592
31-B_S35_L003_R1_001	28386451
31-B_S35_L003_R2_001	28386451
31-C_S80_L003_R1_001	23842041
31-C_S80_L003_R2_001	23842041
31-D_S113_L003_R1_001	27520250
31-D_S113_L003_R2_001	27520250
31-E_S17_L003_R1_001	21619773
31-E_S17_L003_R2_001	21619773
31-F_S49_L003_R1_001	26601861
31-F_S49_L003_R2_001	26601861
31-G_S106_L003_R1_001	23565210
31-G_S106_L003_R2_001	23565210
31-H_S96_L003_R1_001	20183109
31-H_S96_L003_R2_001	20183109
31-M_S92_L003_R1_001	26183510
31-M_S92_L003_R2_001	26183510
31-N_S2_L003_R1_001	26561181
31-N_S2_L003_R2_001	26561181
31-O_S66_L003_R1_001	25803407
31-O_S66_L003_R2_001	25803407
31-P_S56_L003_R1_001	23457699
31-P_S56_L003_R2_001	23457699
36-A_S1_L003_R1_001	26316603
36-A_S1_L003_R2_001	26316603
36-B_S55_L003_R1_001	29993157
36-B_S55_L003_R2_001	29993157
36-C_S57_L003_R1_001	23562955
36-C_S57_L003_R2_001	23562955
36-D_S94_L003_R1_001	24193212
36-D_S94_L003_R2_001	24193212
36-E_S107_L003_R1_001	25950785
36-E_S107_L003_R2_001	25950785
36-F_S31_L003_R1_001	25614859
36-F_S31_L003_R2_001	25614859
36-G_S7_L003_R1_001	28046994
36-G_S7_L003_R2_001	28046994
36-H_S52_L003_R1_001	26011100
36-H_S52_L003_R2_001	26011100
36-M_S37_L003_R1_001	27663376
36-M_S37_L003_R2_001	27663376
36-N_S40_L003_R1_001	28469726
36-N_S40_L003_R2_001	28469726
36-O_S22_L003_R1_001	27548271
36-O_S22_L003_R2_001	27548271
36-P_S85_L003_R1_001	28101062
36-P_S85_L003_R2_001	28101062
3-A_S90_L003_R1_001	27458445
3-A_S90_L003_R2_001	27458445
3-B_S25_L003_R1_001	24522795
3-B_S25_L003_R2_001	24522795
3-C_S9_L003_R1_001	24378489
3-C_S9_L003_R2_001	24378489
3-D_S75_L003_R1_001	26999102
3-D_S75_L003_R2_001	26999102
3-E_S39_L003_R1_001	27730603
3-E_S39_L003_R2_001	27730603
3-F_S4_L003_R1_001	30433635
3-F_S4_L003_R2_001	30433635
3-G_S16_L003_R1_001	27318509
3-G_S16_L003_R2_001	27318509
3-H_S110_L003_R1_001	26606422
3-H_S110_L003_R2_001	26606422
3-M_S65_L003_R1_001	30649742
3-M_S65_L003_R2_001	30649742
3-N_S46_L003_R1_001	27959790
3-N_S46_L003_R2_001	27959790
3-O_S115_L003_R1_001	25943632
3-O_S115_L003_R2_001	25943632
3-P_S72_L003_R1_001	26116162
3-P_S72_L003_R2_001	26116162
41-A_S91_L003_R1_001	26214021
41-A_S91_L003_R2_001	26214021
41-B_S101_L003_R1_001	28846902
41-B_S101_L003_R2_001	28846902
41-C_S27_L003_R1_001	27670431
41-C_S27_L003_R2_001	27670431
41-D_S12_L003_R1_001	23769494
41-D_S12_L003_R2_001	23769494
41-E_S6_L003_R1_001	30071189
41-E_S6_L003_R2_001	30071189
41-F_S60_L003_R1_001	23797385
41-F_S60_L003_R2_001	23797385
41-G_S18_L003_R1_001	26948162
41-G_S18_L003_R2_001	26948162
41-H_S41_L003_R1_001	28172233
41-H_S41_L003_R2_001	28172233
41-M_S34_L003_R1_001	29076288
41-M_S34_L003_R2_001	29076288
41-N_S78_L003_R1_001	26070936
41-N_S78_L003_R2_001	26070936
41-O_S51_L003_R1_001	28389787
41-O_S51_L003_R2_001	28389787
41-P_S24_L003_R1_001	26987517
41-P_S24_L003_R2_001	26987517
44-A_S42_L003_R1_001	26663699
44-A_S42_L003_R2_001	26663699
44-B_S53_L003_R1_001	24493830
44-B_S53_L003_R2_001	24493830
44-C_S5_L003_R1_001	30238216
44-C_S5_L003_R2_001	30238216
44-D_S30_L003_R1_001	25304405
44-D_S30_L003_R2_001	25304405
44-E_S111_L003_R1_001	20911443
44-E_S111_L003_R2_001	20911443
44-F_S87_L003_R1_001	24920168
44-F_S87_L003_R2_001	24920168
44-G_S14_L003_R1_001	28120656
44-G_S14_L003_R2_001	28120656
44-H_S59_L003_R1_001	27734001
44-H_S59_L003_R2_001	27734001
44-M_S26_L003_R1_001	27745060
44-M_S26_L003_R2_001	27745060
44-N_S81_L003_R1_001	24548828
44-N_S81_L003_R2_001	24548828
44-O_S73_L003_R1_001	25005716
44-O_S73_L003_R2_001	25005716
44-P_S93_L003_R1_001	24950954
44-P_S93_L003_R2_001	24950954
50-A_S38_L003_R1_001	28058254
50-A_S38_L003_R2_001	28058254
50-B_S70_L003_R1_001	26751838
50-B_S70_L003_R2_001	26751838
50-C_S45_L003_R1_001	27774874
50-C_S45_L003_R2_001	27774874
50-D_S119_L003_R1_001	23228267
50-D_S119_L003_R2_001	23228267
50-E_S10_L003_R1_001	28817602
50-E_S10_L003_R2_001	28817602
50-F_S62_L003_R1_001	24867886
50-F_S62_L003_R2_001	24867886
50-G_S118_L003_R1_001	30055357
50-G_S118_L003_R2_001	30055357
50-H_S97_L003_R1_001	29219653
50-H_S97_L003_R2_001	29219653
50-M_S21_L003_R1_001	25885873
50-M_S21_L003_R2_001	25885873
50-N_S20_L003_R1_001	24112742
50-N_S20_L003_R2_001	24112742
50-O_S74_L003_R1_001	27358658
50-O_S74_L003_R2_001	27358658
50-P_S86_L003_R1_001	28028325
50-P_S86_L003_R2_001	28028325
62-A_S108_L003_R1_001	27343827
62-A_S108_L003_R2_001	27343827
62-B_S69_L003_R1_001	23736842
62-B_S69_L003_R2_001	23736842
62-C_S15_L003_R1_001	30895067
62-C_S15_L003_R2_001	30895067
62-D_S47_L003_R1_001	27008442
62-D_S47_L003_R2_001	27008442
62-E_S58_L003_R1_001	27731495
62-E_S58_L003_R2_001	27731495
62-F_S28_L003_R1_001	27865069
62-F_S28_L003_R2_001	27865069
62-G_S117_L003_R1_001	26307407
62-G_S117_L003_R2_001	26307407
62-H_S3_L003_R1_001	27324997
62-H_S3_L003_R2_001	27324997
62-M_S64_L003_R1_001	25860193
62-M_S64_L003_R2_001	25860193
62-N_S100_L003_R1_001	28774753
62-N_S100_L003_R2_001	28774753
62-O_S89_L003_R1_001	27622780
62-O_S89_L003_R2_001	27622780
62-P_S43_L003_R1_001	28519133
62-P_S43_L003_R2_001	28519133
7-A_S23_L003_R1_001	27108326
7-A_S23_L003_R2_001	27108326
7-B_S36_L003_R1_001	26203825
7-B_S36_L003_R2_001	26203825
7-C_S32_L003_R1_001	23646610
7-C_S32_L003_R2_001	23646610
7-E_S88_L003_R1_001	27284441
7-E_S88_L003_R2_001	27284441
7-F_S98_L003_R1_001	25968514
7-F_S98_L003_R2_001	25968514
7-G_S48_L003_R1_001	26670724
7-G_S48_L003_R2_001	26670724
7-H_S82_L003_R1_001	29569970
7-H_S82_L003_R2_001	29569970
7-M_S76_L003_R1_001	28080811
7-M_S76_L003_R2_001	28080811
7-N_S11_L003_R1_001	26737415
7-N_S11_L003_R2_001	26737415
7-O_S63_L003_R1_001	26064592
7-O_S63_L003_R2_001	26064592
7-P_S103_L003_R1_001	31324697
7-P_S103_L003_R2_001	31324697
