,SampleId,Sample,Read,Pairedness,Initial,afterTrimmo,afterTrimGal
1,1-A_S44_L003_R1_001,1-A,R1,Paired,30978167,16832615,16297580
2,1-A_S44_L003_R1_001,1-A,R1,Unpaired1,NA,13761993,13593122
3,1-A_S44_L003_R1_001,1-A,R1,Unpaired2,NA,NA,198059
4,1-A_S44_L003_R2_001,1-A,R2,Paired,30978167,16832615,16297580
5,1-A_S44_L003_R2_001,1-A,R2,Unpaired1,NA,195402,61803
6,1-A_S44_L003_R2_001,1-A,R2,Unpaired2,NA,NA,265962
7,1-B_S102_L003_R1_001,1-B,R1,Paired,28392676,16245730,14132700
8,1-B_S102_L003_R1_001,1-B,R1,Unpaired1,NA,11629946,11250717
9,1-B_S102_L003_R1_001,1-B,R1,Unpaired2,NA,NA,266564
10,1-B_S102_L003_R2_001,1-B,R2,Paired,28392676,16245730,14132700
11,1-B_S102_L003_R2_001,1-B,R2,Unpaired1,NA,324558,169786
12,1-B_S102_L003_R2_001,1-B,R2,Unpaired2,NA,NA,1055773
13,1-C_S105_L003_R1_001,1-C,R1,Paired,19437343,10985065,4667655
14,1-C_S105_L003_R1_001,1-C,R1,Unpaired1,NA,6997488,5897544
15,1-C_S105_L003_R1_001,1-C,R1,Unpaired2,NA,NA,723825
16,1-C_S105_L003_R2_001,1-C,R2,Paired,19437343,10985065,4667655
17,1-C_S105_L003_R2_001,1-C,R2,Unpaired1,NA,1261964,604136
18,1-C_S105_L003_R2_001,1-C,R2,Unpaired2,NA,NA,3262333
19,1-D_S79_L003_R1_001,1-D,R1,Paired,28168766,15210499,14782979
20,1-D_S79_L003_R1_001,1-D,R1,Unpaired1,NA,12744626,12595985
21,1-D_S79_L003_R1_001,1-D,R1,Unpaired2,NA,NA,154581
22,1-D_S79_L003_R2_001,1-D,R2,Paired,28168766,15210499,14782979
23,1-D_S79_L003_R2_001,1-D,R2,Unpaired1,NA,80881,54155
24,1-D_S79_L003_R2_001,1-D,R2,Unpaired2,NA,NA,219882
25,1-E_S13_L003_R1_001,1-E,R1,Paired,25308722,14627190,14166873
26,1-E_S13_L003_R1_001,1-E,R1,Unpaired1,NA,10460703,10347165
27,1-E_S13_L003_R1_001,1-E,R1,Unpaired2,NA,NA,138047
28,1-E_S13_L003_R2_001,1-E,R2,Paired,25308722,14627190,14166873
29,1-E_S13_L003_R2_001,1-E,R2,Unpaired1,NA,117587,62171
30,1-E_S13_L003_R2_001,1-E,R2,Unpaired2,NA,NA,243698
31,1-F_S116_L003_R1_001,1-F,R1,Paired,24956621,13811926,11456956
32,1-F_S116_L003_R1_001,1-F,R1,Unpaired1,NA,10370952,9893747
33,1-F_S116_L003_R1_001,1-F,R1,Unpaired2,NA,NA,277234
34,1-F_S116_L003_R2_001,1-F,R2,Paired,24956621,13811926,11456956
35,1-F_S116_L003_R2_001,1-F,R2,Unpaired1,NA,595900,174963
36,1-F_S116_L003_R2_001,1-F,R2,Unpaired2,NA,NA,1107699
37,1-G_S29_L003_R1_001,1-G,R1,Paired,26477827,14806623,14389628
38,1-G_S29_L003_R1_001,1-G,R1,Unpaired1,NA,11432620,11304005
39,1-G_S29_L003_R1_001,1-G,R1,Unpaired2,NA,NA,141894
40,1-G_S29_L003_R2_001,1-G,R2,Paired,26477827,14806623,14389628
