,SampleId,Pairedness2,Sample,Read,Initial,afterTrimmo,afterTrimGal_Sum
1,1-A_S44_L003_R1_001,Paired,1-A,R1,30978167,16832615,16297580
2,1-A_S44_L003_R1_001,Unpaired,1-A,R1,NA,13761993,13791181
3,1-A_S44_L003_R2_001,Paired,1-A,R2,30978167,16832615,16297580
4,1-A_S44_L003_R2_001,Unpaired,1-A,R2,NA,195402,327765
5,1-B_S102_L003_R1_001,Paired,1-B,R1,28392676,16245730,14132700
6,1-B_S102_L003_R1_001,Unpaired,1-B,R1,NA,11629946,11517281
7,1-B_S102_L003_R2_001,Paired,1-B,R2,28392676,16245730,14132700
8,1-B_S102_L003_R2_001,Unpaired,1-B,R2,NA,324558,1225559
9,1-C_S105_L003_R1_001,Paired,1-C,R1,19437343,10985065,4667655
10,1-C_S105_L003_R1_001,Unpaired,1-C,R1,NA,6997488,6621369
11,1-C_S105_L003_R2_001,Paired,1-C,R2,19437343,10985065,4667655
12,1-C_S105_L003_R2_001,Unpaired,1-C,R2,NA,1261964,3866469
13,1-D_S79_L003_R1_001,Paired,1-D,R1,28168766,15210499,14782979
14,1-D_S79_L003_R1_001,Unpaired,1-D,R1,NA,12744626,12750566
15,1-D_S79_L003_R2_001,Paired,1-D,R2,28168766,15210499,14782979
16,1-D_S79_L003_R2_001,Unpaired,1-D,R2,NA,80881,274037
17,1-E_S13_L003_R1_001,Paired,1-E,R1,25308722,14627190,14166873
18,1-E_S13_L003_R1_001,Unpaired,1-E,R1,NA,10460703,10485212
19,1-E_S13_L003_R2_001,Paired,1-E,R2,25308722,14627190,14166873
20,1-E_S13_L003_R2_001,Unpaired,1-E,R2,NA,117587,305869
21,1-F_S116_L003_R1_001,Paired,1-F,R1,24956621,13811926,11456956
22,1-F_S116_L003_R1_001,Unpaired,1-F,R1,NA,10370952,10170981
23,1-F_S116_L003_R2_001,Paired,1-F,R2,24956621,13811926,11456956
24,1-F_S116_L003_R2_001,Unpaired,1-F,R2,NA,595900,1282662
25,1-G_S29_L003_R1_001,Paired,1-G,R1,26477827,14806623,14389628
26,1-G_S29_L003_R1_001,Unpaired,1-G,R1,NA,11432620,11445899
27,1-G_S29_L003_R2_001,Paired,1-G,R2,26477827,14806623,14389628
28,1-G_S29_L003_R2_001,Unpaired,1-G,R2,NA,103160,273528
29,1-H_S84_L003_R1_001,Paired,1-H,R1,28197812,14569799,14128177
30,1-H_S84_L003_R1_001,Unpaired,1-H,R1,NA,13347219,13356794
31,1-H_S84_L003_R2_001,Paired,1-H,R2,28197812,14569799,14128177
32,1-H_S84_L003_R2_001,Unpaired,1-H,R2,NA,98505,265621
33,1-M_S68_L003_R1_001,Paired,1-M,R1,27768358,12031508,11679430
34,1-M_S68_L003_R1_001,Unpaired,1-M,R1,NA,15029304,15092734
35,1-M_S68_L003_R2_001,Paired,1-M,R2,27768358,12031508,11679430
36,1-M_S68_L003_R2_001,Unpaired,1-M,R2,NA,554185,198780
37,1-N_S95_L003_R1_001,Paired,1-N,R1,25238225,15322194,14479268
38,1-N_S95_L003_R1_001,Unpaired,1-N,R1,NA,9544248,9850664
39,1-N_S95_L003_R2_001,Paired,1-N,R2,25238225,15322194,14479268
40,1-N_S95_L003_R2_001,Unpaired,1-N,R2,NA,276661,343380
41,1-O_S54_L003_R1_001,Paired,1-O,R1,28729170,17059793,16593631
42,1-O_S54_L003_R1_001,Unpaired,1-O,R1,NA,11448289,11483721
43,1-O_S54_L003_R2_001,Paired,1-O,R2,28729170,17059793,16593631
44,1-O_S54_L003_R2_001,Unpaired,1-O,R2,NA,107284,300114
45,1-P_S114_L003_R1_001,Paired,1-P,R1,23763750,16973960,15803526
46,1-P_S114_L003_R1_001,Unpaired,1-P,R1,NA,6504636,6515231
47,1-P_S114_L003_R2_001,Paired,1-P,R2,23763750,16973960,15803526
48,1-P_S114_L003_R2_001,Unpaired,1-P,R2,NA,225137,703508
49,13-A_S112_L003_R1_001,Paired,13-A,R1,21329890,12513209,11088934
50,13-A_S112_L003_R1_001,Unpaired,13-A,R1,NA,8475281,8383925
51,13-A_S112_L003_R2_001,Paired,13-A,R2,21329890,12513209,11088934
52,13-A_S112_L003_R2_001,Unpaired,13-A,R2,NA,210236,859213
53,13-B_S67_L003_R1_001,Paired,13-B,R1,28147663,14534789,14130298
54,13-B_S67_L003_R1_001,Unpaired,13-B,R1,NA,13307439,13302510
55,13-B_S67_L003_R2_001,Paired,13-B,R2,28147663,14534789,14130298
56,13-B_S67_L003_R2_001,Unpaired,13-B,R2,NA,149418,266035
57,13-C_S61_L003_R1_001,Paired,13-C,R1,28217033,15576352,15132269
58,13-C_S61_L003_R1_001,Unpaired,13-C,R1,NA,12423172,12425831
59,13-C_S61_L003_R2_001,Paired,13-C,R2,28217033,15576352,15132269
60,13-C_S61_L003_R2_001,Unpaired,13-C,R2,NA,103408,292270
61,13-D_S8_L003_R1_001,Paired,13-D,R1,26030615,15836557,15292351
62,13-D_S8_L003_R1_001,Unpaired,13-D,R1,NA,9980177,10018102
63,13-D_S8_L003_R2_001,Paired,13-D,R2,26030615,15836557,15292351
64,13-D_S8_L003_R2_001,Unpaired,13-D,R2,NA,92176,352647
65,13-E_S77_L003_R1_001,Paired,13-E,R1,25640739,14679057,14254621
66,13-E_S77_L003_R1_001,Unpaired,13-E,R1,NA,10770072,10780879
67,13-E_S77_L003_R2_001,Paired,13-E,R2,25640739,14679057,14254621
68,13-E_S77_L003_R2_001,Unpaired,13-E,R2,NA,96664,281073
69,13-F_S104_L003_R1_001,Paired,13-F,R1,27785126,15836354,13207231
70,13-F_S104_L003_R1_001,Unpaired,13-F,R1,NA,11374699,11163456
71,13-F_S104_L003_R2_001,Paired,13-F,R2,27785126,15836354,13207231
72,13-F_S104_L003_R2_001,Unpaired,13-F,R2,NA,368346,1532593
73,13-G_S50_L003_R1_001,Paired,13-G,R1,25474383,14712723,14317371
74,13-G_S50_L003_R1_001,Unpaired,13-G,R1,NA,10575560,10590673
75,13-G_S50_L003_R2_001,Paired,13-G,R2,25474383,14712723,14317371
76,13-G_S50_L003_R2_001,Unpaired,13-G,R2,NA,71902,258287
77,13-H_S19_L003_R1_001,Paired,13-H,R1,26071008,15326035,14822670
78,13-H_S19_L003_R1_001,Unpaired,13-H,R1,NA,10499134,10527879
79,13-H_S19_L003_R2_001,Paired,13-H,R2,26071008,15326035,14822670
80,13-H_S19_L003_R2_001,Unpaired,13-H,R2,NA,130337,326742
81,13-M_S109_L003_R1_001,Paired,13-M,R1,22108394,12841431,11376324
82,13-M_S109_L003_R1_001,Unpaired,13-M,R1,NA,8886183,8810786
83,13-M_S109_L003_R2_001,Paired,13-M,R2,22108394,12841431,11376324
84,13-M_S109_L003_R2_001,Unpaired,13-M,R2,NA,243478,906247
85,13-N_S81_L003_R1_001,Paired,44-N,R1,24548828,12862017,12505761
86,13-N_S81_L003_R1_001,Unpaired,44-N,R1,NA,11478704,11482583
87,13-N_S81_L003_R2_001,Paired,44-N,R2,24548828,12862017,12505761
88,13-N_S81_L003_R2_001,Unpaired,44-N,R2,NA,70984,222717
89,13-O_S33_L003_R1_001,Paired,13-O,R1,29418994,16696668,16208657
90,13-O_S33_L003_R1_001,Unpaired,13-O,R1,NA,12460400,12470120
91,13-O_S33_L003_R2_001,Paired,13-O,R2,29418994,16696668,16208657
92,13-O_S33_L003_R2_001,Unpaired,13-O,R2,NA,107568,322154
93,13-P_S99_L003_R1_001,Paired,13-P,R1,27951221,16842086,15083926
94,13-P_S99_L003_R1_001,Unpaired,13-P,R1,NA,10647000,10543736
95,13-P_S99_L003_R2_001,Paired,13-P,R2,27951221,16842086,15083926
96,13-P_S99_L003_R2_001,Unpaired,13-P,R2,NA,288320,1040382
97,3-A_S90_L003_R1_001,Paired,3-A,R1,27458445,15606139,15126644
98,3-A_S90_L003_R1_001,Unpaired,3-A,R1,NA,11596828,11615038
99,3-A_S90_L003_R2_001,Paired,3-A,R2,27458445,15606139,15126644
100,3-A_S90_L003_R2_001,Unpaired,3-A,R2,NA,112784,303793
101,3-B_S25_L003_R1_001,Paired,3-B,R1,24522795,12938827,12470220
102,3-B_S25_L003_R1_001,Unpaired,3-B,R1,NA,11333682,11353989
103,3-B_S25_L003_R2_001,Paired,3-B,R2,24522795,12938827,12470220
104,3-B_S25_L003_R2_001,Unpaired,3-B,R2,NA,113798,282769
105,3-C_S9_L003_R1_001,Paired,3-C,R1,24378489,12515723,12140329
106,3-C_S9_L003_R1_001,Unpaired,3-C,R1,NA,11637031,11622553
