,SampleId,Sample,Read,Initial,afterTrimmo,afterTrimGal_Sum
1,1-A_S44_L003_R1_001,1-A,R1,30978167,30594608,30088761
2,1-A_S44_L003_R2_001,1-A,R2,30978167,17028017,16625345
3,1-B_S102_L003_R1_001,1-B,R1,28392676,27875676,25649981
4,1-B_S102_L003_R2_001,1-B,R2,28392676,16570288,15358259
5,1-C_S105_L003_R1_001,1-C,R1,19437343,17982553,11289024
6,1-C_S105_L003_R2_001,1-C,R2,19437343,12247029,8534124
7,1-D_S79_L003_R1_001,1-D,R1,28168766,27955125,27533545
8,1-D_S79_L003_R2_001,1-D,R2,28168766,15291380,15057016
9,1-E_S13_L003_R1_001,1-E,R1,25308722,25087893,24652085
10,1-E_S13_L003_R2_001,1-E,R2,25308722,14744777,14472742
11,1-F_S116_L003_R1_001,1-F,R1,24956621,24182878,21627937
12,1-F_S116_L003_R2_001,1-F,R2,24956621,14407826,12739618
13,1-G_S29_L003_R1_001,1-G,R1,26477827,26239243,25835527
14,1-G_S29_L003_R2_001,1-G,R2,26477827,14909783,14663156
15,1-H_S84_L003_R1_001,1-H,R1,28197812,27917018,27484971
16,1-H_S84_L003_R2_001,1-H,R2,28197812,14668304,14393798
17,1-M_S68_L003_R1_001,1-M,R1,27768358,27060812,26772164
18,1-M_S68_L003_R2_001,1-M,R2,27768358,12585693,11878210
19,1-N_S95_L003_R1_001,1-N,R1,25238225,24866442,24329932
20,1-N_S95_L003_R2_001,1-N,R2,25238225,15598855,14822648
21,1-O_S54_L003_R1_001,1-O,R1,28729170,28508082,28077352
22,1-O_S54_L003_R2_001,1-O,R2,28729170,17167077,16893745
23,1-P_S114_L003_R1_001,1-P,R1,23763750,23478596,22318757
24,1-P_S114_L003_R2_001,1-P,R2,23763750,17199097,16507034
25,13-A_S112_L003_R1_001,13-A,R1,21329890,20988490,19472859
26,13-A_S112_L003_R2_001,13-A,R2,21329890,12723445,11948147
27,13-B_S67_L003_R1_001,13-B,R1,28147663,27842228,27432808
28,13-B_S67_L003_R2_001,13-B,R2,28147663,14684207,14396333
29,13-C_S61_L003_R1_001,13-C,R1,28217033,27999524,27558100
30,13-C_S61_L003_R2_001,13-C,R2,28217033,15679760,15424539
31,13-D_S8_L003_R1_001,13-D,R1,26030615,25816734,25310453
32,13-D_S8_L003_R2_001,13-D,R2,26030615,15928733,15644998
33,13-E_S77_L003_R1_001,13-E,R1,25640739,25449129,25035500
34,13-E_S77_L003_R2_001,13-E,R2,25640739,14775721,14535694
35,13-F_S104_L003_R1_001,13-F,R1,27785126,27211053,24370687
36,13-F_S104_L003_R2_001,13-F,R2,27785126,16204700,14739824
37,13-G_S50_L003_R1_001,13-G,R1,25474383,25288283,24908044
38,13-G_S50_L003_R2_001,13-G,R2,25474383,14784625,14575658
39,13-H_S19_L003_R1_001,13-H,R1,26071008,25825169,25350549
40,13-H_S19_L003_R2_001,13-H,R2,26071008,15456372,15149412
41,13-M_S109_L003_R1_001,13-M,R1,22108394,21727614,20187110
42,13-M_S109_L003_R2_001,13-M,R2,22108394,13084909,12282571
43,13-N_S81_L003_R1_001,44-N,R1,24548828,24340721,23988344
44,13-N_S81_L003_R2_001,44-N,R2,24548828,12933001,12728478
45,13-O_S33_L003_R1_001,13-O,R1,29418994,29157068,28678777
46,13-O_S33_L003_R2_001,13-O,R2,29418994,16804236,16530811
47,13-P_S99_L003_R1_001,13-P,R1,27951221,27489086,25627662
48,13-P_S99_L003_R2_001,13-P,R2,27951221,17130406,16124308
49,3-A_S90_L003_R1_001,3-A,R1,27458445,27202967,26741682
50,3-A_S90_L003_R2_001,3-A,R2,27458445,15718923,15430437
51,3-B_S25_L003_R1_001,3-B,R1,24522795,24272509,23824209
52,3-B_S25_L003_R2_001,3-B,R2,24522795,13052625,12752989
53,3-C_S9_L003_R1_001,3-C,R1,24378489,24152754,23762882
54,3-C_S9_L003_R2_001,3-C,R2,24378489,12595772,12385235
55,3-D_S75_L003_R1_001,3-D,R1,26999102,26808045,26386352
56,3-D_S75_L003_R2_001,3-D,R2,26999102,14448524,14220080
57,3-E_S39_L003_R1_001,3-E,R1,27730603,27495583,27051633
58,3-E_S39_L003_R2_001,3-E,R2,27730603,15715608,15442310
59,3-F_S4_L003_R1_001,3-F,R1,30433635,30111176,29660048
60,3-F_S4_L003_R2_001,3-F,R2,30433635,17859736,17523587
61,3-G_S16_L003_R1_001,3-G,R1,27318509,27093322,26498678
62,3-G_S16_L003_R2_001,3-G,R2,27318509,14528992,14221442
63,3-H_S110_L003_R1_001,3-H,R1,26606422,26044939,24055022
64,3-H_S110_L003_R2_001,3-H,R2,26606422,18449286,17232320
65,3-M_S65_L003_R1_001,3-M,R1,30649742,30279538,29691274
66,3-M_S65_L003_R2_001,3-M,R2,30649742,14603361,14225637
67,3-N_S46_L003_R1_001,3-N,R1,27959790,27734969,27316789
68,3-N_S46_L003_R2_001,3-N,R2,27959790,15399535,15166014
69,3-O_S115_L003_R1_001,3-O,R1,25943632,25457950,23481103
70,3-O_S115_L003_R2_001,3-O,R2,25943632,15180071,14111587
71,3-P_S72_L003_R1_001,3-P,R1,26116162,25924037,25515430
72,3-P_S72_L003_R2_001,3-P,R2,26116162,13940492,13706378
73,31-A_S71_L003_R1_001,31-A,R1,27765592,27538565,27109603
74,31-A_S71_L003_R2_001,31-A,R2,27765592,14890621,14625659
75,31-B_S35_L003_R1_001,31-B,R1,28386451,28164217,27755649
76,31-B_S35_L003_R2_001,31-B,R2,28386451,16793705,16554905
77,31-C_S80_L003_R1_001,31-C,R1,23842041,23603272,23192524
78,31-C_S80_L003_R2_001,31-C,R2,23842041,11244163,10965976
79,31-D_S113_L003_R1_001,31-D,R1,27520250,26926659,25095720
80,31-D_S113_L003_R2_001,31-D,R2,27520250,16840156,15631404
81,31-E_S17_L003_R1_001,31-E,R1,21619773,21331418,20844552
82,31-E_S17_L003_R2_001,31-E,R2,21619773,11419107,11102406
83,31-F_S49_L003_R1_001,31-F,R1,26601861,26371617,25965373
84,31-F_S49_L003_R2_001,31-F,R2,26601861,15440819,15207292
85,31-G_S106_L003_R1_001,31-G,R1,23565210,22563644,17927486
86,31-G_S106_L003_R2_001,31-G,R2,23565210,16549763,13565728
87,31-H_S96_L003_R1_001,31-H,R1,20183109,19944060,19347106
88,31-H_S96_L003_R2_001,31-H,R2,20183109,11656814,11266773
89,31-M_S92_L003_R1_001,31-M,R1,26183510,25935627,25408288
90,31-M_S92_L003_R2_001,31-M,R2,26183510,12627805,12339753
91,31-N_S2_L003_R1_001,31-N,R1,26561181,26317355,25868873
92,31-N_S2_L003_R2_001,31-N,R2,26561181,15261121,14994752
93,31-O_S66_L003_R1_001,31-O,R1,25803407,25549815,25030548
94,31-O_S66_L003_R2_001,31-O,R2,25803407,12896241,12545130
95,31-P_S56_L003_R1_001,31-P,R1,23457699,23165536,22855943
96,31-P_S56_L003_R2_001,31-P,R2,23457699,11431202,11177346
